id,phase,country,location,name,preservation,lat,long,sex,age
175,4,Denmark,"Hove, Hove å",NA,bog skeleton,55.724526,12.246677,male,adult
176,5,Denmark,Gelsted,NA,bog skeleton,55.311846,11.74585,unknown,unknown
177,5,Denmark,Verup,NA,bog skeleton,55.584377,11.502521,female,adult
178,5,Denmark,Ammendrup,NA,bog skeleton,55.094901,12.010721,female,adult
179,5,Denmark,Gadevang ,Gadevang Man,bog skeleton,55.949,12.296825,male,adult
180,5,Denmark,Ølstykke,NA,bog skeleton,55.802891,12.191064,male,adult
181,5,Denmark,"Asperup, Tværvejen etape III",Åbymanden,bog skeleton,55.475434,9.89667,male,adult
182,5,Denmark,Bukkerup,NA,bog skeleton (partial),55.284702,10.053852,male,adult
183,2,Denmark,Stistrup Kær,NA,bog skeleton (cranium/mandible),56.749991,9.281891,female,adult
184,3,Denmark,Hyllebjerg,NA,bog skeleton,56.822427,9.280674,female,adult
185,5,Denmark,Sønderlade,Sønderlade VIII,bog skeleton (cranium/mandible),56.839764,9.25701,female,adult
186,5,Denmark,Sønderup Kær,Sønderup Kær,bog skeleton (partial),56.807412,9.628481,female,adult
187,5,Denmark,Skivum,NA,bog skeleton (cranium/mandible),56.868738,9.585233,male,adult
188,5,Denmark,Gøttrup,NA,bog skeleton,56.803794,9.34394,female,adult
189,5,Denmark,Hestbæk,Hestbæk III,bog skeleton,56.717459,9.22741,female,adult
190,5,Denmark,Vilsted,NA,bog skeleton,56.901522,9.283464,male,adult
191,5,Denmark,Stubberup,NA,bog skeleton,56.709949,9.932946,unknown,child
192,2,Denmark,Ulkestrup Lyng U,NA,bog skeleton (cranium/mandible),55.592152,11.536813,unknown,unknown
193,5,Denmark,"Hasle, Blichersvej",NA,bog skeleton,56.162134,10.153346,female,adult
194,5,Denmark,Vinkel,NA,bog skeleton,56.554729,9.138358,unknown,adult
195,5,Denmark,Hannerup,NA,bog skeleton (cranium/mandible),56.661819,9.651907,unknown,adult
196,5,Denmark,Balling,NA,bog skeleton (cranium/mandible),56.62182,8.85376,unknown,adult
197,5,Denmark  ,Vinderup,NA,bog skeleton,56.493842,8.827585,female,adult
198,5,Ireland,Derrymaquirk,Derrymaquirk Woman,bog skeleton,54.848625,-6.84429,female,adult
199,5,Ireland,Derrymaquirk,NA,bog skeleton (cranium/mandible),54.848625,-6.84429,unknown,child
200,6,United Kingdom,Hope,NA,bog mummy,53.3437,-1.746,male,adult
201,6,United Kingdom,Hope,NA,bog mummy,53.3437,-1.746,female,adult
202,6,United Kingdom,"Norsewick, Shetland",NA,bog mummy,60.2872,-1.3505,male,adult
203,6,United Kingdom,"Norsewick, Shetland",NA,bog mummy,60.2872,-1.3505,female,adult
204,6,Netherlands,Wijster,Wijster Four,bog mummy,52.797194,6.517053,unknown,adult
205,6,Netherlands,Wijster,Wijster Four,bog mummy,52.797194,6.517053,unknown,adult
206,6,Netherlands,Wijster,Wijster Four,bog mummy,52.797194,6.517053,unknown,unknown
207,6,Netherlands,Wijster,Wijster Four,bog mummy,52.797194,6.517053,unknown,child
208,5,Netherlands,Weerdinge,Weerdinge couple (I),bog mummy,52.8457,6.9578,male,adult
209,5,Netherlands,Weerdinge,Weerdinge couple (II),bog mummy,52.8457,6.9578,male,adult
210,5,Germany,Hunteburg,Hunteburg Men (I),bog mummy,52.455042,8.195715,male,adult
211,5,Germany,Hunteburg,Hunteburg Men (II),bog mummy,52.455042,8.195715,male,adult
212,3,Sweden,Kiaby,"northern boat, skeleton II",bog skeleton,56.073295,14.317569,male,adult
213,3,Sweden,Kiaby,"southern boat, skeleton I",bog skeleton,56.073295,14.317569,male,adult
